0,too close for sure... this will go down to the wire and if Kallis is around who knows  fawad alam is a tosser #pakcricket
1,@relativesanity I can think of a variety of quite valid reasons 
0,Show wrap on GTG just now. Sad times! 
0,"Weather forecasts are always unbelievable, you liar "
0,@samanthaang carina has work  oh well we can still go sunday at noon. i'll give you a call tonight after work. I'm excited 
0,went to see the dentist. can't eat and im starving. really sucks.  and ist's painful.
0,"So we had a flat tire, but we were able to drive to hot pit and replace it in no time!  Our first breakdown was at 1.5 hours left in race "
0,Gutted that Roberto Martinez is leaving us. After all he said about players leaving for greed - what does he do? Goes to Wigan! FFS! 
1,[DebianPlanet] Paul Wise: Going to DebConf!: I'm going to DebConf9  I caught the end of a sale f.. http://tinyurl.com/d8mx7b
1,"good morning   busy day, much to do with no energy to do it, lol"
0,"I think im all prettyfied up, but my hair is being a bitch "
1,is abt to head out the door to go to church! 
0,http://twitpic.com/2yii3 - my q key broke 
1,...and some others I can remember. We need a new one. How about A Clockwork Orange? A movie about psychos sounds good to me. 
0,oh gosh! what can i do now 
0,"Cá»‘ gáº¯ng hoÃ n thiá»‡n web trong tuáº§n nÃ y, nhÆ°ng cÃ³ váº» ko kháº£ thi cho láº¯m  "
0,@bekkiMS bahahhahah I have to too  it sucks
0,"Observe &amp; Report was premiering at the Chinese Theater I was driving by slowly but only saw the reporters &amp; red carpet, no stars "
0,man today is gonna be a crazy day  im beyond tired
0,Watch this video: http://slide.com/t/7/2/PXsggDb6d8jD that kid's gifted! i feel like an idiot 
1,"@celeb_assistant sauvignon blanc or Chardonnay, I used to be in catering  but drink what you like, throw out the rule book if you want"
1,fuuuuuun at charo's whoohooo @lacheeeks is still the best 
1,@twincident I tried. @whrrl is trying to help 
1,@OregonDeadHead well they look delicious but I'll have to check out my cash flow.  can I buy already picked berries or just plants?
1,@LMStellaPR after 3yrs we get good at dealing with messes huh 
0,@antony_yiu I was in Singapore and Thailand for a week or so. Back in Cali now 
0,I am VERY cold  jumper and a wooly hat on @otisbear isnt cold so he doesnt think this means we need heating on x
0,Ugggggh! I really really don't like where I live anymore! I think it might be time for a change. Just gotta figure out how to afford it 
0,Iran's situation is getting worse and worse while I was sleeping soundly in my bed...It's just not right.  http://plurk.com/p/12k1zo
0,has just watched The Hills Season Finale and cried. Goodbye Lauren  but welcome back Kristin 
0,pong machines are deceptively addictive  13 hours until my essay is due! workworkworkpongwork
1,@ever_winter yay this one works now 
0,"@WeLoveEP I HATE the people over at JJ they are mean, rude and inconsiderate "
0,My cars alternator hates me!!! He's always upset 
1,Great Day 
0,"@MissKnowItAll82 Tks, but my stomach is already revolting against this bad decision I made. "
1,"@chicagokarl Yes Contiki is pure C. Also does low-power routing, shell, telnetd, httpd, etc., can even post to twitter  http://is.gd/CkR1"
1,@mojoe Then go back and noodle until the cows come home. 
1,@MrsSOsbourne Welcome we're all glad your here!  &lt;3
1,Gonna finally go to bed after a long day. Goodnight world 
0,Concert was cancelled!!! Hal is crushed. This is so upsetting 
0,it's Tetris' 25th birthday and i haven't played it all day. i'm a terrible geek  one quick game and then bed.
1,with kris&amp;mike and stinky. lots to do tomorrow 
0,Morning tweetworld! Hope everyone is welll! My days are so packed right now that I rarely get a minute to jump on here! 
0,So i have no pockets  so im going to leave my phone in my locker. Lame.
1,Bonjour Twitterland 
0,It's on LJ. But its not on youtube 
1,@KentuckyTour aww man haha nice setlist just remove ur hand so we can see hahaha 
1,"@lordbyte are you in a sharing music mood, darling? "
0,i wish i could travel..the only reason why i feel im wasting my life is bcoz im not travelling..i want to see new things everyday! 
1,@Silentbx wow! your soo lucky! my dream is to meet mc at least 1 time but 40.wow! 
0,@GuadaFK - Im going to be in SF from Friday to Monday  thats crazy. Call Vanessa she is going out on Friday night. Miss you Tortas Forever
0,My romeo is 4 years older then me. What kind of luv story is that? 
0,"God, I miss the boys so bad! "
1,"Someone tell me how to cancel a search on Tweetdeck, I can't figure it out, thanks in advance "
0,@violinistliz  -hugsregardless-
0,had to bust out the wrist brace today... thinking I need to take a small break from the computer.. just as soon as this painting is done 
0,"@CaseyLynnN If you and Keys ever get married, can I be in the bridal party? I'm friends with like...2 girls ever. "
1,@glenn_kinning Gd luck Glen try &amp; stay upright this weekend? 
1,@Twilightish and to you too! 
1,@chipcoffey I hope you will tell us all about it Chip.  Those of us who couldn't attend want to hear about it!  
0,@justindg im sorry 
0,I keep reading the forums for breast augmentation and I seem to be the only 18 year old on there...wtf? I don't like this 
0,@JaredStorm So why aren't you telling me who's won so far? 
1,@MetalFent keep an eye out for possible goatwhore in-store dates. They might be coming to atlanta at the end of the month 
0,i wish i was sleeping 
0,.. I always have to take a second and feel bad whenever I see an ad for a missing child... 
1,@ycelsongwriter Aww thank u for the shout 
0,"@O2 Whilst taking my GCSE science exam, I believe the phone fell out of my velcro bag "
1,A must see! Great #art and #creativity! http://www.juliebcreative.com/index.html @juliebcreative 
0,@JCTurner That was done ages ago. Have to use my touch on the laptop as it won't work on my iMac. 
0,"Someone send me 'who are you now' - this prov. I can't get the whole album,only the bonus tracks    louiise-x@live.co.uk   ty(:"
1,All next weekend  along with a party and graduation and a few more suprises along the way
1,I wish this Austin rain would stop... there's a double-header baseball game v OU(sucks) today! 
1,I stood in the rain without an umbrella waiting for my train 
0,sad because i dont have tickets for jonas brothers concert in monterrey!!! 
0,"@Waisybabu well I will leave when the match begins, I don't have TV in my room  #PakCricket"
0,"morning peepz! last night was great, but i have to work today and i'm sooo tired! "
0,"is so gutted right now, feel like I've had my heart ripped out mashed around and put back in "
0,@Victreebel @Scyther123 Yeah I got a trainer now but I keep telling you guys I was always kind of a wimpy charizard before 
1,It's back again 
1,@treypeezy Get 100 followers a day using www.tweeteradder.com Once you add everyone you are on the train or pay vip 
0,@missfree  i cant get any one of them to work.......
0,@Tolman21 I was asleep until my brother woke me up asking me if I ate the rest of the frosted mini wheats. I can't go back to sleep. 
1,"@is_selene: I get very angry and annoyed when I get disturbed..I'm such a nerd.  Hmmm, I've never heard of it.. :/ what's it about?! "
0,was involved in a car accident this morning 
1,"@meso_maniac Ummm yes it would.. That would be awesome to watch though, a small tornado with 2 feet of snow on the ground. "
1,@lisababy182 on my way. leave the light on. 
0,is sittin down and is hatin the bloomin rain 
0,will definitely miss you bubs  can people please stop going to far-far away land??????
0,rats!  the &quot;waterproof surgical tape&quot; I bought is just fabric tape...and doesn't look very waterproof.    #woundcare #vasculitis
1,Getting all the love I need  http://twitpic.com/6cwz7
0,can't get my macbook till monday. 
1,"@the_beacon  I was on the train home, it's in Fermat's Last Theorem and I smiled. A geeky sort of chap saw me reading it and smiled back!"
0,come get some coffee! one more hour of work 
0,"Sitting up in bed watching TV, can't sleep "
1,@freyathoseby tossserrrrrrrrrrrr 
0,#iconfess I talked to this girl from off line on the phone for an hour and change about my problems last month. The calls ended I her pix 
0,"Got coffee, GPS says hour and 15min drive home  listening to Lady Gaga to stay awake! Wish I had the new BEP CD!"
1,No more Swinburne classes for 9 months 
